#start
#stop
# omega	 amplitude	 phase
104.301	8.71427e-15	-1.93836
104.458	8.19946e-15	-2.00153
104.615	7.71575e-15	-2.06231
104.772	7.26106e-15	-2.12064
104.929	6.8329e-15	-2.17638
105.086	6.4291e-15	-2.22945
105.243	6.04806e-15	-2.27971
105.4	5.68794e-15	-2.32707
105.558	5.34766e-15	-2.37137
105.715	5.02602e-15	-2.41246
105.872	4.72199e-15	-2.4503
106.029	4.43469e-15	-2.48466
106.186	4.16345e-15	-2.5154
106.343	3.90795e-15	-2.54233
106.5	3.66729e-15	-2.56537
106.657	3.44135e-15	-2.58422
106.814	3.22976e-15	-2.59869
106.971	3.03248e-15	-2.60869
107.128	2.84914e-15	-2.61403
107.285	2.67997e-15	-2.61458
107.442	2.52439e-15	-2.61023
107.6	2.38283e-15	-2.60095
107.757	2.25479e-15	-2.5868
107.914	2.14062e-15	-2.56803
108.071	2.03976e-15	-2.5451
108.228	1.95184e-15	-2.51815
108.385	1.87726e-15	-2.48807
108.542	1.81454e-15	-2.45539
108.699	1.76369e-15	-2.42102
108.856	1.72347e-15	-2.38587
109.013	1.69318e-15	-2.35075
109.17	1.67172e-15	-2.31615
109.327	1.65794e-15	-2.28323
109.485	1.65094e-15	-2.25205
109.642	1.6494e-15	-2.22321
109.799	1.65269e-15	-2.19684
109.956	1.6595e-15	-2.17318
110.113	1.66936e-15	-2.15211
110.27	1.68117e-15	-2.13363
110.427	1.69461e-15	-2.11764
110.584	1.70882e-15	-2.10374
110.741	1.72377e-15	-2.09199
110.898	1.7387e-15	-2.08219
111.055	1.75317e-15	-2.07397
111.212	1.76745e-15	-2.06742
111.369	1.78088e-15	-2.06198
111.527	1.79372e-15	-2.05761
111.684	1.80575e-15	-2.05446
111.841	1.81671e-15	-2.052
111.998	1.82668e-15	-2.05022
112.155	1.83552e-15	-2.04907
112.312	1.84362e-15	-2.04849
112.469	1.85041e-15	-2.04818
112.626	1.85638e-15	-2.04804
112.783	1.86149e-15	-2.04836
112.94	1.86561e-15	-2.04874
113.097	1.86877e-15	-2.04917
113.254	1.87148e-15	-2.04967
113.411	1.87324e-15	-2.05026
113.569	1.87459e-15	-2.05078
113.726	1.8753e-15	-2.0512
113.883	1.87543e-15	-2.0516
114.04	1.87507e-15	-2.05185
114.197	1.87461e-15	-2.05214
114.354	1.87356e-15	-2.05216
114.511	1.87235e-15	-2.05209
114.668	1.87095e-15	-2.05185
114.825	1.86929e-15	-2.05148
114.982	1.86754e-15	-2.05115
115.139	1.86592e-15	-2.0505
115.296	1.86416e-15	-2.04986
115.454	1.86243e-15	-2.04906
115.611	1.86061e-15	-2.04817
115.768	1.85892e-15	-2.04722
115.925	1.85715e-15	-2.04625
116.082	1.85573e-15	-2.04514
116.239	1.85449e-15	-2.04406
116.396	1.85324e-15	-2.04282
116.553	1.85197e-15	-2.04182
116.71	1.85097e-15	-2.04065
116.867	1.84996e-15	-2.03961
117.024	1.84922e-15	-2.0386
117.181	1.84846e-15	-2.03757
117.338	1.84767e-15	-2.03658
117.496	1.84721e-15	-2.03574
117.653	1.84658e-15	-2.03489
117.81	1.84597e-15	-2.03416
117.967	1.84542e-15	-2.03356
118.124	1.84494e-15	-2.033
118.281	1.84412e-15	-2.03248
118.438	1.84347e-15	-2.0322
118.595	1.84269e-15	-2.03188
118.752	1.84162e-15	-2.03172
118.909	1.84047e-15	-2.03153
119.066	1.8392e-15	-2.03154
119.223	1.83774e-15	-2.03144
119.381	1.83596e-15	-2.03155
119.538	1.83405e-15	-2.03163
119.695	1.83184e-15	-2.03173
119.852	1.82913e-15	-2.03187
120.009	1.82638e-15	-2.0319
120.166	1.82336e-15	-2.03199
120.323	1.82015e-15	-2.03206
120.48	1.81656e-15	-2.03205
120.637	1.81269e-15	-2.0319
120.794	1.80856e-15	-2.03179
120.951	1.80406e-15	-2.03142
121.108	1.79932e-15	-2.03088
121.265	1.79455e-15	-2.03019
121.423	1.78944e-15	-2.02935
121.58	1.78425e-15	-2.02837
121.737	1.77882e-15	-2.02712
121.894	1.77333e-15	-2.02569
122.051	1.76779e-15	-2.02396
122.208	1.76219e-15	-2.02194
122.365	1.7566e-15	-2.01973
122.522	1.75124e-15	-2.01723
